idx	title	folder_path	report_path
019	COMETA + Rosin · 1999	reports/019-255_413270_cometa_report_rosin	reports/019-255_413270_cometa_report_rosin/report.md
020	Gemini 7 Transcript · 1965-12-05 · LEO	reports/020_021-nasa_gemini_7	reports/020_021-nasa_gemini_7/report.md
021	Gemini 7 Audio · 1965-12-05 · LEO	reports/020_021-nasa_gemini_7	reports/020_021-nasa_gemini_7/report.md
022	SHAEF foofighters · 1944-1945 · Germany	reports/022-331_120752_numeric_files_1944-1945_37153_german_armament_equipment_documents	reports/022-331_120752_numeric_files_1944-1945_37153_german_armament_equipment_documents/report.md
023	USAFE → Cabell · 1948-11 · Netherlands	reports/023-341_110448_records_relating_to_intelligence_1948-1955_netherlands	reports/023-341_110448_records_relating_to_intelligence_1948-1955_netherlands/report.md
024	Russell 蘇聯目擊 · 1955-10 · Azerbaijan	reports/024-341_110677_numerical_file_5-2500_azerbaijan	reports/024-341_110677_numerical_file_5-2500_azerbaijan/report.md
025	FSR 200-4 彙編 · 1948-1949	reports/025-342_hs1-416511228_319.1_flying_discs_1949	reports/025-342_hs1-416511228_319.1_flying_discs_1949/report.md
026	Box 7, 101-172	reports/026-38_143685_box7_incident_summaries_101-172	reports/026-38_143685_box7_incident_summaries_101-172/report.md
027	Box, 173-233	reports/027-38_143685_box_incident_summaries_173-233	reports/027-38_143685_box_incident_summaries_173-233/report.md
028	Box 7, 1-100	reports/028-38_143685_box7_incident_summaries_1-100	reports/028-38_143685_box7_incident_summaries_1-100/report.md
029	White House Space Council · 1963-07-18	reports/029-59_214434_sp_16_1963_alien_race	reports/029-59_214434_sp_16_1963_alien_race/report.md
030	State Dept Samford · 1952-07-18	reports/030-59_64634_711.5612_1952_state_samford	reports/030-59_64634_711.5612_1952_state_samford/report.md
031	FBI Detroit Weaver · 1958-04-17 · Detroit	reports/031-65_hs1-101634279_100-de-18221_serial_844_detroit_1958	reports/031-65_hs1-101634279_100-de-18221_serial_844_detroit_1958/report.md
032	Krasuski 證述 · 1957-11 · Germany 1944	reports/032-65_hs1-101634279_100-de-26505_germany_1944	reports/032-65_hs1-101634279_100-de-26505_germany_1944/report.md
