idx	title	type	link	agency	date
	PDF	https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_section_1.pdf	FBI	N/A
34	65_HS1-834228961_62-HQ-83894_Section_8	PDF	https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_section_8.pdf	FBI	N/A
35	DOW-UAP-D10, Mission Report, Middle East, May 2022	PDF	https://www.war.gov/medialink/ufo/release_1/dow-uap-d10-mission-report-middle-east-may-2022.pdf	Department of War	5/6/22
36	DOW-UAP-D12, Mission Report, Iraq, May 2022	PDF	https://www.war.gov/medialink/ufo/release_1/dow-uap-d12-mission-report-iraq-may-2022.pdf	Department of War	5/20/22
37	DOW-UAP-D14, Mission Report, Iraq, May 2022	PDF	https://www.war.gov/medialink/ufo/release_1/dow-uap-d14-mission-report-iraq-may-2022.pdf	Department of War	5/29/22
38	DOW-UAP-D16, Mission Report, Syria, July 2022	PDF	https://www.war.gov/medialink/ufo/release_1/dow-uap-d16-mission-report-syria-july-2022.pdf	Department of War	7/31/22
39	DOW-UAP-D18, Mission Report, Iraq, December 2022	PDF	https://www.war.gov/medialink/ufo/release_1/dow-uap-d18-mission-report-iraq-december-2022.pdf	Department of War	12/1/22
40	DOW-UAP-D19, Mission Report, Syria, February 21, 2023	PDF	https://www.war.gov/medialink/ufo/release_1/dow-uap-d19-mission-report-syria-february-21-2023.pdf	Department of War	2/21/23
41	DOW-UAP-D20, Mission Report, Iraq, 2023	PDF	https://www.war.gov/medialink/ufo/release_1/dow-uap-d20-mission-report-southern-united-states-2023.pdf	Department of War	3/31/23
42	DOW-UAP-D23, Mission Report, United Arab Emirates, October 2023	PDF	https://www.war.gov/medialink/ufo/release_1/dow-uap-d23-mission-report-united-arab-emirates-october-2023.pdf	Department of War	10/31/23
43	DOW-UAP-D23, Mission Report, United Arab Emirates, October 2023	PDF	https://www.war.gov/medialink/ufo/release_1/dow-uap-d23-mission-report-united-arab-emirates-october-2023.pdf	Department of War	10/31/23
44	DOW-UAP-D25, Mission Report, Greece, January 2024	PDF	https://www.war.gov/medialink/ufo/release_1/dow-uap-d25-mission-report-greece-january-2024.pdf	Department of War	1/25/24
45	DOW-UAP-D27, Mission Report, United Arab Emirates, October 2023	PDF	https://www.war.gov/medialink/ufo/release_1/dow-uap-d27-mission-report-united-arab-emirates-october-2023.pdf	Department of War	6/7/24
46	DOW-UAP-D28, Mission Report, Iraq, September 2024	PDF	https://www.war.gov/medialink/ufo/release_1/dow-uap-d28-mission-report-east-china-sea-2024.pdf	Department of War	9/20/24
47	DOW-UAP-D3, Mission Report, Arabian Gulf, 2020	PDF	https://www.war.gov/medialink/ufo/release_1/dow-uap-d3-mission-report-arabian-gulf-2020.pdf	Department of War	N/A
48	DOW-UAP-D32, Mission Report, Syria, October 2024	PDF	https://www.war.gov/medialink/ufo/release_1/dow-uap-d32-mission-report,-syria-october-2024.pdf	Department of War	10/20/24
49	DOW-UAP-D32, Mission Report, Syria, October 2024	PDF	https://www.war.gov/medialink/ufo/release_1/dow-uap-d32-mission-report,-syria-october-2024.pdf	Department of War	10/20/24
50	DOW-UAP-D32, Mission Report, Syria, October 2024	PDF	https://www.war.gov/medialink/ufo/release_1/dow-uap-d32-mission-report,-syria-october-2024.pdf	Department of War	10/20/24
51	DOW-UAP-D33, Mission Report, Greece, October 2023	PDF	https://www.war.gov/medialink/ufo/release_1/dow-uap-d33-mission-report-greece-october-2023.pdf	Department of War	10/27/23
52	DOW-UAP-D35, Mission Report, Greece, October 2023	PDF	https://www.war.gov/medialink/ufo/release_1/dow-uap-d35-mission-report-greece-october-2023.pdf	Department of War	10/29/23
53	DOW-UAP-D38, Range Fouler Debrief, Middle East, May 2020	PDF	https://www.war.gov/medialink/ufo/release_1/dow-uap-d38-range-fouler-debrief-middle-east-may-2020.pdf	Department of War	5/14/20
54	DOW-UAP-D4, Mission Report, Arabian Gulf, 2020	PDF	https://www.war.gov/medialink/ufo/release_1/dow-uap-d4-mission-report-arabian-gulf-2020.pdf	Department of War	N/A
55	DOW-UAP-D42, Range Fouler Debrief, Japan, 2023	PDF	https://www.war.gov/medialink/ufo/release_1/dow-uap-d42-range-fouler-debrief-japan-2023.pdf	Department of War	8/31/20
56	DOW-UAP-D44, Range Fouler Reporting Form, Gulf of Aden, October 2020	PDF	https://www.war.gov/medialink/ufo/release_1/dow-uap-d44-range-fouler-arabian-sea-october-2020.pdf	Department of War	10/15/20
57	DOW-UAP-D48, Department of the Air Force Report, 1996	PDF	https://www.war.gov/medialink/ufo/release_1/dow-uap-d48-report-september-1996.pdf	Department of War	9/10/96
58	DOW-UAP-D49, Launch Summary, Vandenberg AFB, 2000	PDF	https://www.war.gov/medialink/ufo/release_1/dow-uap-d49-launch-summary-february-2000.pdf	Department of War	2/3/00
59	DOW-UAP-D5, Mission Report, Arabian Gulf, 2020	PDF	https://www.war.gov/medialink/ufo/release_1/dow-uap-d5-mission-report-arabian-gulf-2020.pdf	Department of War	N/A
